first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Jakob,Poeltl,C,,,2024-02-04,,TOR,OKC,+9.5,235.5,113,6000,8,16.3,30.4,39.3,29.3,4.88
Myles,Turner,C,,Q,2024-02-04,,IND,CHA,,,,6100,27,10.8,24.4,39.8,28.8,4.71
Russell,Westbrook,PG,,,2024-02-04,,LAC,MIA,-3.5,226,114.8,6000,18,16.0,28.6,44.3,28.5,4.75
Bobby,Portis,PF,C,,2024-02-04,,MIL,UTA,+1,247.5,123.3,6100,22,15.0,24.2,34.3,28.3,4.63
Jordan,Clarkson,SG,,,2024-02-04,,UTA,MIL,-1,247.5,124.3,6000,1,12.8,22.7,35.0,28.0,4.67
PJ,Washington,PF,C,,2024-02-04,,CHA,IND,,,,5900,30,15.5,31.6,56.5,28.0,4.75
Michael,Porter Jr.,SF,PF,,2024-02-04,,DEN,POR,-13.5,221,117.3,6000,14,11.5,24.2,34.5,28.0,4.67
Bennedict,Mathurin,SG,SF,Q,2024-02-04,,IND,CHA,,,,5800,17,19.3,29.9,45.8,27.8,4.78
Aaron,Gordon,PF,,,2024-02-04,,DEN,POR,-13.5,221,117.3,5800,8,20.0,31.0,54.3,27.8,4.78
Josh,Giddey,PG,SG,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,5900,11,22.8,26.2,31.8,27.8,4.70
Aaron,Nesmith,SF,,,2024-02-04,,IND,CHA,,,,5600,16,17.5,36.5,57.0,27.5,4.91
Scoot,Henderson,PG,,,2024-02-04,,POR,DEN,+13.5,221,103.8,5800,4,7.8,24.2,39.8,27.5,4.74
Nick,Richards,C,,,2024-02-04,,CHA,IND,,,,5800,3,19.0,29.4,51.3,27.5,4.74
Santi,Aldama,PF,C,,2024-02-04,,MEM,BOS,+17,221,102,5700,10,15.3,27.6,39.3,27.5,4.82
Bruce,Brown,SG,SF,,2024-02-04,,TOR,OKC,+9.5,235.5,113,5700,15,13.3,27.3,41.8,27.0,4.74
Jabari,Smith Jr.,PF,,,2024-02-04,,HOU,MIN,,,,5600,7,3.3,26.8,47.5,26.8,4.78
Dennis,Schroder,PG,,,2024-02-04,,TOR,OKC,+9.5,235.5,113,5600,14,13.5,27.4,39.3,26.8,4.78
Luke,Kennard,SG,,,2024-02-04,,MEM,BOS,+17,221,102,5500,5,12.0,26.6,34.3,26.5,4.82
Shaedon,Sharpe,SG,SF,Q,2024-02-04,,POR,DEN,+13.5,221,103.8,5400,8,16.0,24.0,31.3,25.5,4.72
Mark,Williams,C,,Q,2024-02-04,,CHA,IND,,,,5400,3,14.8,25.2,38.0,25.5,4.72
Andrew,Nembhard,PG,SG,,2024-02-04,,IND,CHA,,,,5300,24,0.0,25.1,37.3,25.5,4.81
Gordon,Hayward,PF,,Q,2024-02-04,,CHA,IND,,,,5400,30,16.3,23.9,35.3,25.3,4.68
T.J.,McConnell,PG,,,2024-02-04,,IND,CHA,,,,5400,24,13.3,21.7,27.8,25.0,4.63
Mike,Conley,PG,,,2024-02-04,,MIN,HOU,,,,5200,1,13.8,27.3,44.0,25.0,4.81
Al,Horford,PF,C,,2024-02-04,,BOS,MEM,-17,221,119,5200,3,3.5,22.8,30.5,25.0,4.81
Xavier,Tillman,C,,Q,2024-02-04,,MEM,BOS,+17,221,102,5500,5,11.5,17.6,26.8,24.8,4.50
